"Story","Title","Result","Date","Stability","Duration (s)"
"Finding New Cars","User finding a new car","SUCCESS","2020-06-23T01:49:57.841+05:30[Asia/Calcutta]","0.0","0.23"
"Finding Car price and brand names","User finding Car price and Brand names","SUCCESS","2020-06-23T01:49:58.077+05:30[Asia/Calcutta]","0.0","0.08"
